1,17.99,10.38,122.8
1,20.57,17.77,132.9
1,19.69,21.25,130
1,11.42,20.38,77.58
1,20.29,14.34,135.1
1,12.45,15.7,82.57
1,18.25,19.98,119.6
1,13.71,20.83,90.2
1,13,21.82,87.5
1,12.46,24.04,83.97
1,16.02,23.24,102.7
1,15.78,17.89,103.6
1,19.17,24.8,132.4
1,15.85,23.95,103.7
1,13.73,22.61,93.6
1,14.54,27.54,96.73
1,14.68,20.13,94.74
1,16.13,20.68,108.1
1,19.81,22.15,130
0,13.54,14.36,87.46
0,13.08,15.71,85.63
0,9.504,12.44,60.34
1,15.34,14.26,102.5
1,21.16,23.04,137.2
1,16.65,21.38,110
1,17.14,16.4,116
1,14.58,21.53,97.41
1,18.61,20.25,122.1
1,15.3,25.27,102.4
1,17.57,15.05,115
1,18.63,25.11,124.8
1,11.84,18.7,77.93
1,17.02,23.98,112.8
1,19.27,26.47,127.9
1,16.13,17.88,107
1,16.74,21.59,110.1
1,14.25,21.72,93.63
0,13.03,18.42,82.61
1,14.99,25.2,95.54
1,13.48,20.82,88.4
1,13.44,21.58,86.18
1,10.95,21.35,71.9
1,19.07,24.81,128.3
1,13.28,20.28,87.32
1,13.17,21.81,85.42
1,18.65,17.6,123.7
0,8.196,16.84,51.71
1,13.17,18.66,85.98
0,12.05,14.63,78.04
0,13.49,22.3,86.91
0,11.76,21.6,74.72
0,13.64,16.34,87.21
0,11.94,18.24,75.71
1,18.22,18.7,120.3
1,15.1,22.02,97.26
0,11.52,18.75,73.34
1,19.21,18.57,125.5
1,14.71,21.59,95.55
0,13.05,19.31,82.61
0,8.618,11.79,54.34
0,10.17,14.88,64.55
0,8.598,20.98,54.66
1,14.25,22.15,96.42
0,9.173,13.86,59.2
1,12.68,23.84,82.69
1,14.78,23.94,97.4
0,9.465,21.01,60.11
0,11.31,19.04,71.8
0,9.029,17.33,58.79
0,12.78,16.49,81.37
1,18.94,21.31,123.6
0,8.888,14.64,58.79
1,17.2,24.52,114.2
1,13.8,15.79,90.43
0,12.31,16.52,79.19
1,16.07,19.65,104.1
0,13.53,10.94,87.91
1,18.05,16.15,120.2
1,20.18,23.97,143.7
0,12.86,18,83.19
0,11.45,20.97,73.81
0,13.34,15.86,86.49
1,25.22,24.91,171.5
1,19.1,26.29,129.1
0,12,15.65,76.95
1,18.46,18.52,121.1
1,14.48,21.46,94.25
1,19.02,24.59,122
0,12.36,21.8,79.78
0,14.64,15.24,95.77
0,14.62,24.02,94.57
1,15.37,22.76,100.2
0,13.27,14.76,84.74
0,13.45,18.3,86.6
1,15.06,19.83,100.3
1,20.26,23.03,132.4
0,12.18,17.84,77.79
0,9.787,19.94,62.11
0,11.6,12.84,74.34
1,14.42,19.77,94.48
1,13.61,24.98,88.05
0,6.981,13.43,43.79
0,12.18,20.52,77.22
0,9.876,19.4,63.95
0,10.49,19.29,67.41
1,13.11,15.56,87.21
0,11.64,18.33,75.17
0,12.36,18.54,79.01
1,22.27,19.67,152.8
0,11.34,21.26,72.48
0,9.777,16.99,62.5
0,12.63,20.76,82.15
0,14.26,19.65,97.83
0,10.51,20.19,68.64
0,8.726,15.83,55.84
0,11.93,21.53,76.53
0,8.95,15.76,58.74
1,14.87,16.67,98.64
1,15.78,22.91,105.7
1,17.95,20.01,114.2
0,11.41,10.82,73.34
1,18.66,17.12,121.4
1,24.25,20.2,166.2
0,14.5,10.89,94.28
0,13.37,16.39,86.1
0,13.85,17.21,88.44
1,13.61,24.69,87.76
1,19,18.91,123.4
0,15.1,16.39,99.58
1,19.79,25.12,130.4
0,12.19,13.29,79.08
1,15.46,19.48,101.7
1,16.16,21.54,106.2
0,15.71,13.93,102
1,18.45,21.91,120.2
1,12.77,22.47,81.72
0,11.71,16.67,74.72
0,11.43,15.39,73.06
1,14.95,17.57,96.85
0,11.28,13.39,73
0,9.738,11.97,61.24
1,16.11,18.05,105.1
0,11.43,17.31,73.66
0,12.9,15.92,83.74
0,10.75,14.97,68.26
0,11.9,14.65,78.11
